,,,
Andres,perro,0997507797,25
juan,pitbull,0952783782,2/1/2026
andres,hola,23323344,233
Andres,Perro,09975,16
Andres,gato,0997507797, /Mes/Año
Reyes,Perro,0943681213,3/3/2026
Reyes,Gato,0943681213,2/2/2026
Reyes,Perro,0943681213,2/3/2026
Reyes,Perro,0943681213,3/5/2026
REYES,PERRO,0943681213,3/1/2026
Reyes,Perro,0943681213,3/2/2026
Reyes,Perro,0943681212,3/4/2027
Reyes,Perro,0943681213,4/3/2026
Reyes,Gato,0943681215,4/3/2027
Reyes,Perro,0943681213,2/3/2027
Reyes,Perro,0943681213,2/2/2026
Reyes,Perro,0943681213,2/2/2026
Reyes,Perro,0943681213,2/3/2026
Reyes,Perro,0943681213,3/2/2034
Reyes,Perro,0943681213,3/2/2026
